id,t,group,year,month,replace,miles
59,Sep-75,530875,1975,9,0,2353
59,Oct-75,530875,1975,10,0,6299
59,Nov-75,530875,1975,11,0,10479
59,Dec-75,530875,1975,12,0,15201
59,Jan-76,530875,1976,1,0,20326
59,Feb-76,530875,1976,2,0,24898
59,Mar-76,530875,1976,3,0,29349
59,Apr-76,530875,1976,4,0,33304
59,May-76,530875,1976,5,0,37631
59,Jun-76,530875,1976,6,0,42428
59,Jul-76,530875,1976,7,0,47023
59,Aug-76,530875,1976,8,0,52571
59,Sep-76,530875,1976,9,0,58696
59,Oct-76,530875,1976,10,0,62776
59,Nov-76,530875,1976,11,0,66347
59,Dec-76,530875,1976,12,0,69260
59,Jan-77,530875,1977,1,0,72025
59,Feb-77,530875,1977,2,0,74323
59,Mar-77,530875,1977,3,0,76684
59,Apr-77,530875,1977,4,0,79403
59,May-77,530875,1977,5,0,82093
59,Jun-77,530875,1977,6,0,84579
59,Jul-77,530875,1977,7,0,88054
59,Aug-77,530875,1977,8,0,90206
59,Sep-77,530875,1977,9,0,92421
59,Oct-77,530875,1977,10,0,95127
59,Nov-77,530875,1977,11,0,98290
59,Dec-77,530875,1977,12,0,100941
59,Jan-78,530875,1978,1,0,104241
59,Feb-78,530875,1978,2,0,107720
59,Mar-78,530875,1978,3,0,110597
59,Apr-78,530875,1978,4,0,113442
59,May-78,530875,1978,5,0,116148
59,Jun-78,530875,1978,6,0,118615
59,Jul-78,530875,1978,7,0,121528
59,Aug-78,530875,1978,8,0,123837
59,Sep-78,530875,1978,9,0,126505
59,Oct-78,530875,1978,10,0,129204
59,Nov-78,530875,1978,11,0,132530
59,Dec-78,530875,1978,12,0,135398
59,Jan-79,530875,1979,1,0,137763
59,Feb-79,530875,1979,2,0,143169
59,Mar-79,530875,1979,3,0,148099
59,Apr-79,530875,1979,4,1,152557
59,May-79,530875,1979,5,0,1702
59,Jun-79,530875,1979,6,0,4770
59,Jul-79,530875,1979,7,0,7452
59,Aug-79,530875,1979,8,0,10156
59,Sep-79,530875,1979,9,0,11217
59,Oct-79,530875,1979,10,0,14507
59,Nov-79,530875,1979,11,0,18022
59,Dec-79,530875,1979,12,0,20570
59,Jan-80,530875,1980,1,0,23707
59,Feb-80,530875,1980,2,0,27378
59,Mar-80,530875,1980,3,0,30281
59,Apr-80,530875,1980,4,0,34047
59,May-80,530875,1980,5,0,35694
59,Jun-80,530875,1980,6,0,36648
59,Jul-80,530875,1980,7,0,39354
59,Aug-80,530875,1980,8,0,41726
59,Sep-80,530875,1980,9,0,44294
59,Oct-80,530875,1980,10,0,46158
59,Nov-80,530875,1980,11,0,48131
59,Dec-80,530875,1980,12,0,51245
59,Jan-81,530875,1981,1,0,53786
59,Feb-81,530875,1981,2,0,55941
59,Mar-81,530875,1981,3,0,58332
59,Apr-81,530875,1981,4,0,61072
59,May-81,530875,1981,5,0,63791
59,Jun-81,530875,1981,6,0,65991
59,Jul-81,530875,1981,7,0,68171
59,Aug-81,530875,1981,8,0,70850
59,Sep-81,530875,1981,9,0,73806
59,Oct-81,530875,1981,10,0,76695
59,Nov-81,530875,1981,11,0,79355
59,Dec-81,530875,1981,12,0,81410
59,Jan-82,530875,1982,1,0,83325
59,Feb-82,530875,1982,2,0,85164
59,Mar-82,530875,1982,3,0,86109
59,Apr-82,530875,1982,4,0,87608
59,May-82,530875,1982,5,0,89560
59,Jun-82,530875,1982,6,0,90893
59,Jul-82,530875,1982,7,0,93025
59,Aug-82,530875,1982,8,0,95246
59,Sep-82,530875,1982,9,0,97408
59,Oct-82,530875,1982,10,0,99072
59,Nov-82,530875,1982,11,0,101508
59,Dec-82,530875,1982,12,0,102981
59,Jan-83,530875,1983,1,0,104612
59,Feb-83,530875,1983,2,0,106730
59,Mar-83,530875,1983,3,0,108914
59,Apr-83,530875,1983,4,0,111486
59,May-83,530875,1983,5,0,113556
59,Jun-83,530875,1983,6,0,115833
59,Jul-83,530875,1983,7,0,117899
59,Aug-83,530875,1983,8,0,119000
59,Sep-83,530875,1983,9,0,119621
59,Oct-83,530875,1983,10,0,121510
59,Nov-83,530875,1983,11,0,123511
59,Dec-83,530875,1983,12,0,125254
59,Jan-84,530875,1984,1,0,127988
59,Feb-84,530875,1984,2,0,130724
59,Mar-84,530875,1984,3,0,132526
59,Apr-84,530875,1984,4,0,134840
59,May-84,530875,1984,5,0,136727
59,Jun-84,530875,1984,6,0,138259
59,Jul-84,530875,1984,7,0,139539
59,Aug-84,530875,1984,8,0,141715
59,Sep-84,530875,1984,9,0,143036
59,Oct-84,530875,1984,10,0,144557
59,Nov-84,530875,1984,11,0,146465
59,Dec-84,530875,1984,12,0,148396
59,Jan-85,530875,1985,1,0,149858
59,Feb-85,530875,1985,2,0,152093
59,Mar-85,530875,1985,3,0,154467
59,Apr-85,530875,1985,4,0,156453
59,May-85,530875,1985,5,0,158450
60,Sep-75,530875,1975,9,0,129
60,Oct-75,530875,1975,10,0,4372
60,Nov-75,530875,1975,11,0,9064
60,Dec-75,530875,1975,12,0,13846
60,Jan-76,530875,1976,1,0,18251
60,Feb-76,530875,1976,2,0,22725
60,Mar-76,530875,1976,3,0,27843
60,Apr-76,530875,1976,4,0,32508
60,May-76,530875,1976,5,0,37003
60,Jun-76,530875,1976,6,0,41817
60,Jul-76,530875,1976,7,0,47203
60,Aug-76,530875,1976,8,0,52571
60,Sep-76,530875,1976,9,0,57887
60,Oct-76,530875,1976,10,0,62468
60,Nov-76,530875,1976,11,0,66738
60,Dec-76,530875,1976,12,0,71023
60,Jan-77,530875,1977,1,0,75818
60,Feb-77,530875,1977,2,0,79929
60,Mar-77,530875,1977,3,0,83721
60,Apr-77,530875,1977,4,0,88008
60,May-77,530875,1977,5,0,91941
60,Jun-77,530875,1977,6,0,95928
60,Jul-77,530875,1977,7,0,100400
60,Aug-77,530875,1977,8,0,103883
60,Sep-77,530875,1977,9,0,108156
60,Oct-77,530875,1977,10,0,111865
60,Nov-77,530875,1977,11,0,115527
60,Dec-77,530875,1977,12,0,120400
60,Jan-78,530875,1978,1,0,122983
60,Feb-78,530875,1978,2,0,126507
60,Mar-78,530875,1978,3,0,130014
60,Apr-78,530875,1978,4,0,134470
60,May-78,530875,1978,5,0,138555
60,Jun-78,530875,1978,6,0,142429
60,Jul-78,530875,1978,7,0,145344
60,Aug-78,530875,1978,8,0,148837
60,Sep-78,530875,1978,9,0,152791
60,Oct-78,530875,1978,10,0,156433
60,Nov-78,530875,1978,11,0,160350
60,Dec-78,530875,1978,12,0,163496
60,Jan-79,530875,1979,1,0,167134
60,Feb-79,530875,1979,2,0,170815
60,Mar-79,530875,1979,3,0,174119
60,Apr-79,530875,1979,4,0,177999
