id,t,model,purchase_date,data_begins,miles,d,miles_repl,repl_1,odo_repl_1,repl_2,odo_repl_2
1334,May-77,D309,Mar-77,May-77,377,0,,,,,
1334,Jun-77,D309,Mar-77,May-77,1066,0,,,,,
1334,Jul-77,D309,Mar-77,May-77,2162,0,,,,,
1334,Aug-77,D309,Mar-77,May-77,2899,0,,,,,
1334,Sep-77,D309,Mar-77,May-77,3700,0,,,,,
1334,Oct-77,D309,Mar-77,May-77,4905,0,,,,,
1334,Nov-77,D309,Mar-77,May-77,5022,0,,,,,
1334,Dec-77,D309,Mar-77,May-77,5403,0,,,,,
1334,Jan-78,D309,Mar-77,May-77,5855,0,,,,,
1334,Feb-78,D309,Mar-77,May-77,6793,0,,,,,
1334,Mar-78,D309,Mar-77,May-77,7576,0,,,,,
1334,Apr-78,D309,Mar-77,May-77,8483,0,,,,,
1334,May-78,D309,Mar-77,May-77,8930,0,,,,,
1334,Jun-78,D309,Mar-77,May-77,9509,0,,,,,
1334,Jul-78,D309,Mar-77,May-77,9739,0,,,,,
1334,Aug-78,D309,Mar-77,May-77,9943,0,,,,,
1334,Sep-78,D309,Mar-77,May-77,10455,0,,,,,
1334,Oct-78,D309,Mar-77,May-77,10931,0,,,,,
1334,Nov-78,D309,Mar-77,May-77,11288,0,,,,,
1334,Dec-78,D309,Mar-77,May-77,11606,0,,,,,
1334,Jan-79,D309,Mar-77,May-77,12086,0,,,,,
1334,Feb-79,D309,Mar-77,May-77,12778,0,,,,,
1334,Mar-79,D309,Mar-77,May-77,13101,0,,,,,
1334,Apr-79,D309,Mar-77,May-77,13392,0,,,,,
1334,May-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Jun-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Jul-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Aug-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Sep-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Oct-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Nov-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Dec-79,D309,Mar-77,May-77,13449,0,,,,,
1334,Jan-80,D309,Mar-77,May-77,13449,0,,,,,
1334,Feb-80,D309,Mar-77,May-77,13449,0,,,,,
1334,Mar-80,D309,Mar-77,May-77,13591,0,,,,,
1334,Apr-80,D309,Mar-77,May-77,13651,0,,,,,
1334,May-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Jun-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Jul-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Aug-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Sep-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Oct-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Nov-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Dec-80,D309,Mar-77,May-77,13831,0,,,,,
1334,Jan-81,D309,Mar-77,May-77,13831,0,,,,,
1334,Feb-81,D309,Mar-77,May-77,13831,0,,,,,
1334,Mar-81,D309,Mar-77,May-77,13831,0,,,,,
1334,Apr-81,D309,Mar-77,May-77,13831,0,,,,,
1334,May-81,D309,Mar-77,May-77,13831,0,,,,,
1334,Jun-81,D309,Mar-77,May-77,13917,0,,,,,
1334,Jul-81,D309,Mar-77,May-77,14370,0,,,,,
1334,Aug-81,D309,Mar-77,May-77,14778,0,,,,,
1334,Sep-81,D309,Mar-77,May-77,15329,0,,,,,
1334,Oct-81,D309,Mar-77,May-77,16139,0,,,,,
1334,Nov-81,D309,Mar-77,May-77,17169,0,,,,,
1334,Dec-81,D309,Mar-77,May-77,18051,0,,,,,
1334,Jan-82,D309,Mar-77,May-77,19181,0,,,,,
1334,Feb-82,D309,Mar-77,May-77,20103,0,,,,,
1334,Mar-82,D309,Mar-77,May-77,21010,0,,,,,
1334,Apr-82,D309,Mar-77,May-77,22174,0,,,,,
1334,May-82,D309,Mar-77,May-77,22766,0,,,,,
1334,Jun-82,D309,Mar-77,May-77,23782,0,,,,,
1334,Jul-82,D309,Mar-77,May-77,24683,0,,,,,
1334,Aug-82,D309,Mar-77,May-77,25720,0,,,,,
1334,Sep-82,D309,Mar-77,May-77,26691,0,,,,,
1334,Oct-82,D309,Mar-77,May-77,27712,0,,,,,
1334,Nov-82,D309,Mar-77,May-77,28507,0,,,,,
1334,Dec-82,D309,Mar-77,May-77,29456,0,,,,,
